EmployeeKey,EmployeeNumber,DepartmentKey,JobRoleKey,EducationFieldKey,BusinessTravelKey,GenderKey,MaritalStatusKey,Age,DistanceFromHome,JobLevel,JobInvolvement,OverTime,NumCompaniesWorked,StockOptionLevel,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,PerformanceRating,WorkLifeBalance,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Education,EducationLevel,AgeGroup,SalaryBand,TensureGroup,Job Satisfaction Level
158,214,2,7,4,3,1,2,58,9,1,2,Yes,4,1,1145,75,11873,3346,20,2,2,2,4,2,9,3,1,0,0,0,No,3,Bachelor,56+,Meduim Salary,New Employee,Medium
199,271,2,5,2,3,2,2,38,2,2,3,No,9,0,1261,88,7259,6553,14,4,3,2,3,3,14,3,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,High
205,282,2,1,4,3,2,2,38,29,2,3,Yes,7,0,1180,70,11354,6673,19,2,1,2,3,3,17,2,1,0,0,0,Yes,1,Below College,36-45,Meduim Salary,New Employee,Low
216,298,3,4,2,3,1,3,41,6,3,3,Yes,3,0,896,75,14674,13591,18,4,4,3,3,3,16,3,1,0,0,0,No,3,Bachelor,36-45,High Salary,New Employee,Very High
226,309,2,7,2,3,2,2,59,3,1,2,No,3,1,142,70,8456,2177,17,3,4,1,3,3,7,6,1,0,0,0,No,3,Bachelor,56+,Low Salary,New Employee,Very High
243,334,2,7,2,3,2,1,41,19,2,3,No,2,2,1411,36,19877,3072,16,3,1,1,3,2,17,2,1,0,0,0,No,2,College,36-45,Meduim Salary,New Employee,Low
251,342,2,5,4,2,2,1,37,10,3,3,No,6,2,504,61,22573,10048,11,1,3,2,3,3,17,5,1,0,0,0,Yes,3,Bachelor,36-45,High Salary,New Employee,High
259,353,2,7,2,3,2,2,51,1,1,3,No,1,0,833,96,23231,2723,11,3,4,2,3,2,1,0,1,0,0,0,No,3,Bachelor,46-55,Low Salary,New Employee,Very High
287,392,2,3,2,2,2,1,44,24,1,3,Yes,3,1,920,43,19920,3161,22,4,3,4,4,1,19,0,1,0,0,0,Yes,3,Bachelor,36-45,Meduim Salary,New Employee,High
299,407,2,3,2,2,2,2,36,18,1,4,No,4,2,566,81,7122,3688,18,3,4,4,3,3,4,2,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,Very High
328,445,3,8,4,3,1,2,39,3,2,3,Yes,4,0,1162,41,17778,5238,18,4,3,1,3,2,12,3,1,0,0,0,Yes,2,College,36-45,Meduim Salary,New Employee,High
334,451,2,1,2,3,1,2,43,7,3,3,No,8,1,1001,43,9262,9985,16,3,1,1,3,2,10,1,1,0,0,0,No,3,Bachelor,36-45,High Salary,New Employee,Low
349,468,2,6,2,3,1,3,42,23,4,3,No,2,0,810,44,15901,15992,14,1,4,2,3,3,16,2,1,0,0,0,No,5,Doctor,36-45,Very High Salary,New Employee,Very High
357,477,2,1,5,3,2,3,42,2,2,2,No,3,0,1332,98,17078,6781,23,1,4,2,4,3,14,6,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,Very High
359,479,3,8,4,1,1,3,36,1,2,3,No,4,0,845,45,15276,6653,15,4,4,2,3,3,7,6,1,0,0,0,No,5,Doctor,36-45,Meduim Salary,New Employee,Very High
364,485,3,9,3,3,1,3,33,5,1,3,Yes,1,0,350,34,9150,2851,13,4,3,2,3,3,1,2,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,High
366,487,2,5,4,1,1,2,46,7,2,3,No,2,0,1144,30,16044,5258,14,3,3,3,3,4,7,2,1,0,0,0,No,4,Master,46-55,Meduim Salary,New Employee,High
371,494,3,9,2,3,1,3,21,12,1,4,No,1,0,156,90,25422,2716,15,3,2,4,3,3,1,0,1,0,0,0,Yes,3,Bachelor,18-25,Low Salary,New Employee,Medium
382,508,3,9,6,3,2,2,30,2,1,3,No,1,1,202,72,17434,2476,18,3,2,1,3,3,1,3,1,0,0,0,No,1,Below College,26-35,Low Salary,New Employee,Medium
386,514,2,7,6,2,2,3,30,4,1,3,Yes,9,0,464,40,3427,2285,23,3,4,3,4,3,3,4,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Very High
392,521,2,3,4,3,1,2,40,2,2,2,No,6,1,555,78,13436,3448,22,2,3,2,4,3,20,3,1,0,0,0,No,3,Bachelor,36-45,Meduim Salary,New Employee,High
417,556,2,3,2,2,2,2,38,2,1,3,Yes,1,1,1490,42,12106,1702,23,4,4,3,4,3,1,3,1,0,0,0,No,2,College,36-45,Low Salary,New Employee,Very High
423,566,1,2,6,3,2,3,19,2,1,2,No,1,0,489,52,18437,2564,12,1,4,3,3,4,1,3,1,0,0,0,Yes,2,College,18-25,Low Salary,New Employee,Very High
425,568,3,4,3,3,2,1,57,29,4,2,No,3,1,210,56,22102,14118,12,1,4,3,3,2,32,3,1,0,0,0,No,3,Bachelor,56+,High Salary,New Employee,Very High
432,578,2,3,2,3,1,3,54,8,2,3,No,7,0,548,42,23428,3780,11,3,3,3,3,3,19,3,1,0,0,0,No,4,Master,46-55,Meduim Salary,New Employee,High
440,587,2,1,2,2,2,2,31,20,3,3,No,3,0,534,66,22908,9824,12,1,3,1,3,3,12,2,1,0,0,0,Yes,3,Bachelor,26-35,High Salary,New Employee,High
464,622,2,3,6,3,2,3,26,24,1,1,Yes,1,0,471,66,23213,2340,18,3,4,2,3,1,1,3,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Very High
472,634,2,1,4,3,1,2,38,10,2,3,No,3,1,1495,76,22174,9824,19,3,3,3,3,3,18,4,1,0,0,0,No,3,Bachelor,36-45,High Salary,New Employee,High
477,643,2,3,5,3,2,2,24,17,1,2,No,1,1,823,94,9100,2127,21,4,2,4,4,3,1,2,1,0,0,0,No,2,College,18-25,Low Salary,New Employee,Medium
481,648,3,9,2,2,2,2,30,12,1,2,No,1,1,448,74,14470,2033,18,2,1,3,3,4,1,2,1,0,0,0,Yes,4,Master,26-35,Low Salary,New Employee,Low
488,657,2,7,2,3,1,3,20,1,1,2,No,1,0,959,83,11757,2836,13,4,2,4,3,4,1,0,1,0,0,0,No,3,Bachelor,18-25,Low Salary,New Employee,Medium
490,661,2,6,5,3,2,1,43,6,4,2,Yes,4,1,782,50,2671,16627,14,2,4,3,3,2,21,3,1,0,0,0,No,4,Master,36-45,Very High Salary,New Employee,Very High
502,680,2,7,4,2,1,1,30,3,1,3,No,1,1,160,71,22653,2083,20,3,3,3,4,3,1,2,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,High
516,704,2,3,2,1,2,2,35,3,1,2,No,1,2,727,41,16900,1281,18,3,3,3,3,3,1,3,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,High
523,715,2,7,2,3,2,3,37,10,1,4,No,3,0,1225,80,15232,4680,17,4,4,1,3,3,4,2,1,0,0,0,No,2,College,36-45,Meduim Salary,New Employee,Very High
543,743,2,5,2,3,1,3,38,1,3,3,Yes,4,0,168,81,15397,7861,14,3,3,4,3,4,10,4,1,0,0,0,No,3,Bachelor,36-45,High Salary,New Employee,High
547,749,3,9,2,3,2,3,29,10,1,3,No,1,0,1396,99,2755,2642,11,3,3,3,3,3,1,6,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,High
558,771,2,1,2,1,1,1,35,2,2,3,No,2,1,1225,61,4761,5093,11,4,1,1,3,4,16,2,1,0,0,0,No,4,Master,26-35,Meduim Salary,New Employee,Low
587,812,2,3,2,1,2,1,24,9,1,2,No,1,3,1092,60,26551,2694,11,3,2,3,3,3,1,4,1,0,0,0,No,3,Bachelor,18-25,Low Salary,New Employee,Medium
590,816,2,3,2,3,1,2,29,1,1,2,Yes,1,1,805,36,6689,2319,11,2,1,4,3,3,1,1,1,0,0,0,Yes,2,College,26-35,Low Salary,New Employee,Low
602,832,2,3,4,2,2,3,40,16,2,2,No,6,0,720,51,11983,5094,14,1,3,4,3,3,10,6,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,High
604,834,2,7,2,3,1,3,45,2,1,2,No,1,0,252,95,6153,2274,14,2,3,4,3,3,1,3,1,0,0,0,No,3,Bachelor,36-45,Low Salary,New Employee,High
629,868,3,8,3,3,2,1,37,16,2,2,No,4,2,342,66,24558,6334,19,4,3,4,3,3,9,2,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,High
661,918,2,3,2,2,2,1,58,2,1,2,Yes,9,1,781,57,13384,2380,14,4,4,4,3,2,3,3,1,0,0,0,Yes,1,Below College,56+,Low Salary,New Employee,Very High
662,920,2,5,2,3,1,1,43,8,2,3,No,4,1,177,55,23814,4765,21,1,2,3,4,4,4,2,1,0,0,0,No,3,Bachelor,36-45,Meduim Salary,New Employee,Medium
664,923,2,7,5,3,1,3,21,18,1,3,No,1,0,1427,65,8870,2693,19,4,4,1,3,2,1,3,1,0,0,0,Yes,1,Below College,18-25,Low Salary,New Employee,Very High
684,952,3,9,3,3,2,2,25,19,1,2,Yes,1,3,867,36,18798,2413,18,3,2,3,3,3,1,2,1,0,0,0,Yes,2,College,18-25,Low Salary,New Employee,Medium
685,954,3,8,3,3,2,1,40,10,3,2,No,2,1,658,67,20652,9705,12,1,2,2,3,2,11,2,1,0,0,0,No,4,Master,36-45,High Salary,New Employee,Medium
689,959,3,9,5,3,2,3,19,21,1,2,Yes,1,0,419,37,9947,2121,13,4,2,2,3,4,1,3,1,0,0,0,Yes,3,Bachelor,18-25,Low Salary,New Employee,Medium
690,960,2,3,6,3,2,3,20,4,1,3,No,1,0,129,84,13008,2973,19,1,1,2,3,3,1,2,1,0,0,0,Yes,3,Bachelor,18-25,Low Salary,New Employee,Low
701,977,2,7,6,3,2,3,58,2,1,3,No,4,0,289,51,26227,2479,24,4,3,1,4,3,7,4,1,0,0,0,Yes,3,Bachelor,56+,Low Salary,New Employee,High
707,986,3,8,2,1,1,3,40,24,4,4,Yes,4,0,1479,100,17071,13194,16,2,2,4,3,2,22,2,1,0,0,0,Yes,3,Bachelor,36-45,High Salary,New Employee,Medium
732,1016,2,7,4,3,1,3,20,11,1,2,Yes,1,0,1097,98,18275,2600,15,4,1,1,3,3,1,2,1,0,0,0,Yes,3,Bachelor,18-25,Low Salary,New Employee,Low
742,1029,3,4,3,3,2,2,42,5,5,3,No,6,0,265,90,7770,18303,13,4,3,2,3,4,21,3,1,0,0,0,No,2,College,36-45,Very High Salary,New Employee,High
743,1030,2,3,2,3,2,2,50,9,1,3,No,4,0,804,64,20165,2380,18,1,4,2,3,3,8,5,1,0,0,0,No,3,Bachelor,46-55,Low Salary,New Employee,Very High
745,1033,2,1,4,3,1,2,37,11,2,1,No,5,0,1141,61,14382,4777,15,1,2,1,3,1,15,2,1,0,0,0,Yes,2,College,36-45,Meduim Salary,New Employee,Medium
748,1036,3,8,2,3,2,3,38,3,2,3,Yes,8,0,1035,42,4981,6861,12,2,4,3,3,3,19,1,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,Very High
762,1052,2,3,5,3,2,1,36,15,2,3,No,7,1,660,81,7858,4834,14,1,3,2,3,2,9,3,1,0,0,0,Yes,3,Bachelor,36-45,Meduim Salary,New Employee,High
765,1056,3,9,4,3,2,2,28,10,1,3,No,1,0,1144,74,23384,1052,22,4,2,2,4,3,1,5,1,0,0,0,No,1,Below College,26-35,Low Salary,New Employee,Medium
776,1076,3,8,4,3,2,1,43,25,3,2,No,5,1,415,79,5268,10798,13,3,4,3,3,3,18,5,1,0,0,0,No,3,Bachelor,36-45,High Salary,New Employee,Very High
796,1105,3,8,2,3,1,1,37,10,2,2,Yes,2,3,309,88,24223,6694,14,4,4,3,3,3,8,5,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,Very High
801,1111,2,3,4,2,2,1,28,1,1,2,No,1,2,1009,45,7160,2596,15,1,2,1,3,3,1,2,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Medium
812,1125,3,8,3,3,2,3,38,2,3,3,No,7,0,130,32,20619,7351,16,4,2,3,3,3,10,2,1,0,0,0,No,2,College,36-45,High Salary,New Employee,Medium
825,1148,2,3,4,3,2,3,42,29,2,1,No,4,0,188,56,9558,4272,19,2,4,1,3,3,16,3,1,0,0,0,No,3,Bachelor,36-45,Meduim Salary,New Employee,Very High
831,1158,2,3,2,3,2,2,41,12,1,3,Yes,3,1,167,46,9051,4766,11,2,4,1,3,3,6,4,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,Very High
851,1190,3,9,2,1,1,1,32,2,1,3,No,1,3,862,76,14947,2827,12,3,1,3,3,3,1,3,1,0,0,0,No,1,Below College,26-35,Low Salary,New Employee,Low
865,1210,2,7,2,1,2,1,41,5,1,2,No,6,1,906,95,20293,2107,17,1,1,1,3,1,5,2,1,0,0,0,Yes,2,College,36-45,Low Salary,New Employee,Low
872,1219,2,3,2,3,1,2,24,17,1,3,No,1,1,984,97,3372,2210,13,4,2,1,3,1,1,3,1,0,0,0,Yes,2,College,18-25,Low Salary,New Employee,Medium
888,1242,2,6,4,2,1,2,42,26,3,3,Yes,3,0,458,60,23281,13191,17,1,1,3,3,3,20,6,1,0,0,0,No,5,Doctor,36-45,High Salary,New Employee,Low
900,1256,2,4,4,3,2,2,49,4,5,2,No,2,1,1098,85,12124,18711,13,1,3,3,3,4,23,2,1,0,0,0,No,2,College,46-55,Very High Salary,New Employee,High
902,1258,2,3,6,3,2,3,48,2,1,4,No,5,0,969,76,16620,2559,11,4,2,3,3,2,7,4,1,0,0,0,No,2,College,46-55,Low Salary,New Employee,Medium
905,1263,2,6,2,3,2,3,48,1,5,2,No,6,0,715,76,8733,18265,12,4,4,3,3,4,25,3,1,0,0,0,No,3,Bachelor,46-55,Very High Salary,New Employee,Very High
907,1265,2,7,6,3,1,2,34,20,1,4,No,0,0,1320,89,21643,2585,17,3,3,4,3,2,2,5,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,High
926,1292,2,7,4,3,1,2,42,7,2,4,Yes,6,0,603,78,5628,2372,16,2,2,4,3,3,18,2,1,0,0,0,No,4,Master,36-45,Low Salary,New Employee,Medium
971,1364,3,9,4,3,1,2,27,11,1,4,No,8,1,1291,98,6527,2534,14,3,4,2,3,3,5,4,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,Very High
981,1379,3,9,2,2,1,3,31,2,1,2,No,7,0,703,90,11882,2785,14,3,4,3,3,4,3,3,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Very High
1013,1427,3,9,2,2,1,3,31,1,1,1,No,1,0,667,50,16154,1359,12,2,3,2,3,3,1,3,1,0,0,0,Yes,4,Master,26-35,Low Salary,New Employee,High
1017,1433,2,7,2,3,1,3,31,8,1,2,No,1,0,202,34,22262,1261,12,1,2,3,3,4,1,3,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Medium
1033,1458,2,3,2,1,1,3,39,2,1,2,Yes,2,0,592,54,17181,3646,23,1,1,2,4,4,11,2,1,0,0,0,Yes,3,Bachelor,36-45,Meduim Salary,New Employee,Low
1052,1481,3,8,3,2,1,2,44,1,2,3,No,7,1,383,79,9282,4768,12,1,3,3,3,2,11,4,1,0,0,0,No,5,Doctor,36-45,Meduim Salary,New Employee,High
1053,1482,2,7,6,1,2,1,30,7,1,3,No,1,2,990,64,7152,1274,13,3,3,2,3,2,1,2,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,High
1060,1492,3,9,2,3,2,2,35,7,1,3,No,1,1,660,76,16192,2404,13,4,3,1,3,3,1,3,1,0,0,0,No,1,Below College,26-35,Low Salary,New Employee,High
1062,1495,3,9,2,1,1,2,24,13,1,3,No,1,1,830,78,7103,2033,13,4,2,3,3,3,1,2,1,0,0,0,No,2,College,18-25,Low Salary,New Employee,Medium
1070,1506,2,7,2,3,2,1,28,1,1,2,No,1,1,1423,72,12530,1563,14,1,3,4,3,1,1,2,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,High
1089,1542,2,3,4,3,2,2,42,2,1,2,No,4,1,1210,68,24052,4841,14,3,2,2,3,3,4,3,1,0,0,0,No,3,Bachelor,36-45,Meduim Salary,New Employee,Medium
1105,1558,2,7,2,3,2,2,29,9,1,4,No,6,2,598,91,22376,2451,18,3,3,1,3,2,5,2,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,High
1111,1569,2,3,2,3,1,1,35,2,1,3,Yes,1,1,104,69,26619,2074,12,1,1,4,3,3,1,2,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Low
1116,1577,2,7,4,3,2,3,34,7,1,3,No,1,0,479,35,22061,2972,13,1,4,3,3,1,1,4,1,0,0,0,No,4,Master,26-35,Low Salary,New Employee,Very High
1119,1581,2,7,2,3,1,2,26,3,1,3,No,1,0,474,89,11133,2061,21,1,4,1,4,3,1,5,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,Very High
1122,1585,3,8,2,3,1,3,36,1,2,3,No,6,0,884,73,21447,6815,13,2,3,1,3,3,15,5,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,High
1127,1591,3,4,3,3,2,2,50,9,5,3,Yes,4,1,264,59,19519,19331,16,3,3,3,3,3,27,2,1,0,0,0,No,3,Bachelor,46-55,Very High Salary,New Employee,High
1206,1692,2,3,2,3,2,3,32,2,1,3,No,1,0,1259,95,24852,1393,12,4,2,1,3,3,1,2,1,0,0,0,Yes,4,Master,26-35,Low Salary,New Employee,Medium
1210,1697,2,1,4,3,2,1,60,1,3,1,No,3,1,370,92,20467,10883,20,3,4,3,4,4,19,2,1,0,0,0,No,4,Master,56+,High Salary,New Employee,Very High
1223,1714,1,2,1,3,2,2,24,22,1,1,No,1,1,240,58,11585,1555,11,4,3,3,3,3,1,2,1,0,0,0,Yes,1,Below College,18-25,Low Salary,New Employee,High
1230,1724,2,5,2,3,1,2,40,8,2,3,Yes,2,1,369,92,5041,6516,16,2,1,2,3,3,18,3,1,0,0,0,No,2,College,36-45,Meduim Salary,New Employee,Low
1235,1731,3,8,3,1,2,2,47,2,2,3,No,7,1,543,87,3536,4978,11,3,2,4,3,1,4,3,1,0,0,0,No,4,Master,46-55,Meduim Salary,New Employee,Medium
1258,1761,3,8,3,3,2,2,31,16,3,3,No,2,3,1079,70,19002,8161,13,1,3,1,3,3,10,2,1,0,0,0,Yes,4,Master,26-35,High Salary,New Employee,High
1259,1762,2,7,6,3,1,1,29,4,1,2,No,1,1,590,91,10007,2109,13,4,1,3,3,3,1,2,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,Low
1263,1767,2,7,6,2,2,2,43,17,1,2,Yes,9,1,807,38,15587,2437,16,3,3,4,3,3,6,4,1,0,0,0,Yes,3,Bachelor,36-45,Low Salary,New Employee,High
1265,1770,2,6,4,3,2,2,55,2,5,2,No,8,3,478,60,19805,19038,12,3,1,2,3,3,34,2,1,0,0,0,No,3,Bachelor,46-55,Very High Salary,New Employee,Low
1274,1783,2,3,4,3,1,2,22,8,1,3,Yes,1,0,1294,79,15999,2398,17,3,1,3,3,3,1,6,1,0,0,0,Yes,1,Below College,18-25,Low Salary,New Employee,Low
1313,1842,1,2,1,3,2,2,31,18,1,4,No,0,0,359,89,21495,2956,17,4,1,3,3,3,2,4,1,0,0,0,Yes,5,Doctor,26-35,Low Salary,New Employee,Low
1316,1847,2,7,5,3,1,2,36,2,2,3,Yes,4,1,430,73,19573,6962,22,4,2,4,4,3,15,2,1,0,0,0,No,4,Master,36-45,Meduim Salary,New Employee,Medium
1330,1865,1,2,4,3,2,2,29,6,1,2,No,1,0,352,87,15434,2804,11,4,2,4,3,3,1,3,1,0,0,0,No,1,Below College,26-35,Low Salary,New Employee,Medium
1338,1875,3,9,4,3,1,2,28,3,1,3,No,1,1,1172,78,3692,2856,19,2,2,4,3,3,1,3,1,0,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,Medium
1339,1876,3,9,4,3,2,3,30,9,1,3,No,1,0,945,89,16019,1081,13,2,4,3,3,2,1,3,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Very High
1340,1878,2,7,2,3,2,3,22,7,1,3,Yes,1,0,391,75,26092,2472,23,4,2,1,4,3,1,2,1,0,0,0,Yes,1,Below College,18-25,Low Salary,New Employee,Medium
1366,1928,3,9,6,2,2,3,29,24,1,4,No,1,0,746,45,10642,1091,17,3,1,4,3,3,1,3,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Low
1375,1938,3,4,2,3,1,2,58,21,4,3,Yes,4,1,605,72,11761,17875,13,4,4,3,3,2,29,2,1,0,0,0,No,3,Bachelor,56+,Very High Salary,New Employee,Very High
1380,1944,1,2,1,2,1,2,27,22,1,2,No,1,0,1337,58,19555,2863,12,1,2,1,3,3,1,2,1,0,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,Medium
1392,1961,3,9,2,3,2,3,38,1,1,2,No,4,0,1404,59,11473,2858,14,1,1,1,3,2,20,3,1,0,0,0,No,3,Bachelor,36-45,Low Salary,New Employee,Low
1395,1966,2,5,2,3,2,3,32,5,2,2,No,8,0,1373,56,10138,9679,24,4,4,2,4,3,8,1,1,0,0,0,No,4,Master,26-35,High Salary,New Employee,Very High
1403,1974,2,3,4,3,1,1,31,2,1,1,Yes,1,3,1276,59,17536,1129,11,4,4,3,3,3,1,4,1,0,0,0,No,1,Below College,26-35,Low Salary,New Employee,Very High
1428,2012,2,3,2,3,2,2,40,1,1,3,No,8,2,543,83,4060,2406,19,1,4,3,3,2,8,3,1,0,0,0,No,4,Master,36-45,Low Salary,New Employee,Very High
31,39,2,3,4,3,2,3,33,2,1,3,No,4,0,924,78,6670,2496,11,3,4,4,3,3,7,3,1,1,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,Very High
39,51,2,7,2,3,1,2,36,5,1,2,Yes,9,1,852,82,13072,3419,14,2,1,4,3,4,6,3,1,1,0,0,No,4,Master,36-45,Meduim Salary,New Employee,Low
373,496,2,1,2,3,2,3,35,9,2,2,No,9,0,755,97,19394,6540,19,3,2,3,3,3,10,5,1,1,0,0,No,4,Master,26-35,Meduim Salary,New Employee,Medium
505,684,3,8,2,2,1,2,45,26,2,3,No,2,2,306,100,5630,4286,14,1,1,4,3,3,5,4,1,1,0,0,Yes,4,Master,36-45,Meduim Salary,New Employee,Low
671,933,2,7,2,3,1,3,27,4,1,3,No,1,0,618,76,17808,2318,19,2,3,3,3,3,1,2,1,1,0,0,No,3,Bachelor,26-35,Low Salary,New Employee,High
692,964,2,7,4,2,2,1,40,9,1,3,Yes,8,1,1469,35,25063,3617,14,4,2,4,3,3,3,2,1,1,0,0,No,4,Master,36-45,Meduim Salary,New Employee,Medium
764,1055,3,9,2,3,1,2,34,10,1,3,Yes,1,1,1333,87,18410,2220,19,3,3,4,3,3,1,2,1,1,0,0,No,4,Master,26-35,Low Salary,New Employee,High
798,1107,2,3,4,3,2,1,26,21,1,3,No,1,1,1330,37,19373,2377,20,1,3,3,4,2,1,0,1,1,0,0,Yes,3,Bachelor,26-35,Low Salary,New Employee,High
843,1175,2,3,2,3,1,2,28,12,1,3,Yes,1,0,1485,79,22955,2515,11,3,4,4,3,2,1,4,1,1,0,0,Yes,1,Below College,26-35,Low Salary,New Employee,Very High
846,1180,2,7,4,2,1,2,40,26,2,2,Yes,3,1,902,92,21203,4422,13,3,4,4,3,1,16,3,1,1,0,0,No,2,College,36-45,Meduim Salary,New Employee,Very High
854,1193,2,7,2,3,2,3,19,9,1,3,No,1,0,645,54,7172,2552,25,3,1,3,4,3,1,4,1,1,0,0,No,2,College,18-25,Low Salary,New Employee,Low
